Time,o[t],d[t],v[t],M_fl[t],x_0,y_0,x_1,y_1,x_2,y_2,x_3,y_3,x_4,y_4
34240,0.971303,0.832321,0.096422,0.077951,-0.571974,1.995509,-0.933176,1.714212,-0.702135,1.823392,-1.056811,1.555210,-0.932863,2.133771
34560,0.982416,0.832148,0.090609,0.074074,-0.568980,1.996562,-0.931214,1.716809,-0.699333,1.825224,-1.054783,1.557530,-0.930878,2.136198
34880,0.985276,0.832113,0.113294,0.092885,-0.566504,1.999847,-0.929107,1.719157,-0.697043,1.827919,-1.053051,1.560055,-0.928078,2.137979
35200,0.990142,0.831928,0.100338,0.082651,-0.564463,2.002277,-0.926806,1.721597,-0.694379,1.829938,-1.050869,1.562276,-0.925961,2.140878
35520,0.975761,0.832022,0.104456,0.084803,-0.562217,2.004530,-0.924178,1.724088,-0.692187,1.832930,-1.048916,1.564778,-0.923176,2.143334
35840,0.972465,0.831828,0.102204,0.082675,-0.559268,2.006079,-0.921852,1.725963,-0.689946,1.835386,-1.046584,1.566781,-0.921329,2.145746
36160,0.996561,0.832059,0.095992,0.079596,-0.557203,2.009182,-0.919128,1.727921,-0.687581,1.838059,-1.044424,1.569069,-0.918423,2.146953
36480,0.984703,0.831720,0.083469,0.068361,-0.554430,2.010706,-0.916075,1.729777,-0.684200,1.839534,-1.041784,1.570829,-0.916450,2.149724
36800,0.961131,0.831683,0.092342,0.073814,-0.551892,2.013937,-0.912918,1.731389,-0.682186,1.841937,-1.039099,1.572471,-0.913861,2.151413
37120,0.959273,0.831622,0.091469,0.072970,-0.549695,2.015894,-0.909232,1.732928,-0.679284,1.844305,-1.036536,1.574358,-0.911459,2.153975
37440,0.940476,0.831422,0.094039,0.073532,-0.546778,2.018233,-0.905658,1.734008,-0.676689,1.846052,-1.033623,1.575730,-0.908958,2.155897
37760,0.966516,0.831414,0.091359,0.073414,-0.544583,2.020541,-0.901420,1.734985,-0.673878,1.848284,-1.030657,1.577081,-0.906219,2.157916
38080,0.950742,0.831254,0.084721,0.066956,-0.541498,2.022212,-0.897156,1.735785,-0.671218,1.849969,-1.027475,1.578194,-0.902950,2.160194
38400,0.980046,0.831108,0.096911,0.078937,-0.538764,2.023833,-0.892452,1.736332,-0.668514,1.852050,-1.024216,1.579336,-0.900234,2.162696
38720,0.960928,0.831024,0.092554,0.073909,-0.536125,2.025962,-0.887337,1.736930,-0.666017,1.854244,-1.020888,1.580354,-0.897411,2.164962
39040,0.926853,0.830932,0.084656,0.065198,-0.533228,2.028381,-0.882419,1.737330,-0.664014,1.856667,-1.017486,1.581337,-0.894146,2.167191
39360,0.935631,0.830811,0.082668,0.064260,-0.530772,2.030021,-0.876935,1.737815,-0.661054,1.858739,-1.013994,1.582353,-0.891763,2.169759
39680,0.906562,0.830714,0.092584,0.069724,-0.527725,2.031940,-0.871748,1.737942,-0.658765,1.860611,-1.010438,1.583337,-0.889117,2.171670
40000,0.954413,0.830759,0.084521,0.067016,-0.525325,2.034011,-0.866215,1.738254,-0.656134,1.862851,-1.007056,1.584496,-0.886375,2.173570
40320,0.942797,0.830543,0.100235,0.078487,-0.522355,2.036293,-0.860746,1.738468,-0.653290,1.864354,-1.004459,1.586360,-0.883869,2.175661
40640,0.947993,0.830706,0.085534,0.067358,-0.520101,2.038499,-0.855324,1.739369,-0.651039,1.866693,-1.002095,1.588579,-0.881202,2.177666
40960,0.940064,0.830467,0.108836,0.084967,-0.517241,2.040962,-0.850105,1.739866,-0.648309,1.868413,-0.999953,1.590879,-0.878087,2.180284
41280,0.907905,0.830511,0.074173,0.055928,-0.514731,2.042468,-0.845041,1.741052,-0.645617,1.870376,-0.998452,1.593465,-0.875478,2.182338
41600,0.911593,0.830496,0.090675,0.068648,-0.511817,2.043207,-0.840258,1.741807,-0.643062,1.872400,-0.997725,1.596360,-0.872276,2.184423
41920,0.941367,0.830310,0.098466,0.076963,-0.508873,2.045366,-0.835476,1.742716,-0.641021,1.874521,-0.997026,1.599271,-0.869967,2.186366
42240,0.930542,0.830109,0.102297,0.079019,-0.506873,2.048501,-0.830788,1.744072,-0.637779,1.876415,-0.996132,1.602132,-0.867421,2.188458
42560,0.929120,0.830183,0.089297,0.068878,-0.504276,2.050019,-0.826177,1.745561,-0.635367,1.878117,-0.995035,1.604927,-0.863887,2.190584
42880,0.931387,0.829955,0.081141,0.062723,-0.500636,2.050551,-0.822301,1.746572,-0.632640,1.880162,-0.993804,1.607656,-0.861429,2.192688
43200,0.941183,0.829872,0.087121,0.068047,-0.497724,2.053262,-0.817940,1.747931,-0.630279,1.881934,-0.992491,1.610343,-0.858471,2.194246
43520,0.960077,0.829790,0.077441,0.061694,-0.495353,2.055011,-0.813674,1.749367,-0.626996,1.883532,-0.991091,1.613003,-0.855916,2.196234
43840,0.966375,0.829821,0.099219,0.079565,-0.492602,2.056868,-0.809400,1.750840,-0.624385,1.885501,-0.989628,1.615620,-0.852155,2.198220
44160,0.967892,0.829719,0.100360,0.080597,-0.489068,2.057410,-0.805302,1.752246,-0.621373,1.887015,-0.988036,1.618160,-0.849253,2.200120
44480,0.964932,0.829470,0.089876,0.071935,-0.486130,2.060099,-0.801598,1.753693,-0.618371,1.888748,-0.986343,1.620620,-0.846565,2.201933
44800,0.977444,0.829473,0.083494,0.067694,-0.483906,2.062435,-0.797563,1.755550,-0.615786,1.890780,-0.984545,1.623025,-0.843634,2.204141
45120,0.970791,0.829492,0.091570,0.073738,-0.480705,2.063108,-0.793605,1.757199,-0.613036,1.892805,-0.982659,1.625350,-0.840375,2.206207
45440,0.985896,0.829322,0.092616,0.075725,-0.477523,2.065224,-0.790251,1.758581,-0.610633,1.894727,-0.980714,1.627628,-0.837812,2.207945
45760,0.988478,0.829226,0.096858,0.079392,-0.475343,2.067885,-0.786856,1.760656,-0.607466,1.896346,-0.978710,1.629912,-0.834865,2.210172
46080,0.950789,0.829265,0.088994,0.070167,-0.472347,2.069145,-0.783574,1.762674,-0.604745,1.898504,-0.976645,1.632146,-0.831878,2.212055
46400,0.950562,0.828958,0.082762,0.065215,-0.469205,2.070698,-0.780765,1.764340,-0.602096,1.900365,-0.975214,1.634081,-0.828843,2.214168
46720,0.957199,0.828814,0.108926,0.086415,-0.466926,2.073614,-0.777730,1.766877,-0.599450,1.902189,-0.974781,1.637035,-0.825666,2.216216
47040,0.936086,0.828497,0.085717,0.066478,-0.463746,2.074551,-0.775280,1.768950,-0.596124,1.903860,-0.974137,1.639962,-0.823038,2.218493
47360,0.950725,0.828439,0.091777,0.072286,-0.460649,2.076150,-0.772869,1.771029,-0.593623,1.906072,-0.973281,1.642831,-0.819616,2.220221
47680,0.977213,0.828232,0.094412,0.076413,-0.457404,2.077718,-0.770637,1.773322,-0.590870,1.907794,-0.972235,1.645637,-0.816557,2.222343
48000,0.969020,0.828132,0.103888,0.083367,-0.454944,2.079828,-0.768503,1.775656,-0.587916,1.909670,-0.970998,1.648367,-0.813385,2.224492
48320,0.940723,0.827974,0.084692,0.065966,-0.451908,2.081187,-0.766365,1.778037,-0.584715,1.911520,-0.969590,1.651014,-0.810946,2.226420
48640,0.985835,0.828064,0.091843,0.074974,-0.448908,2.082510,-0.764023,1.780206,-0.582385,1.913627,-0.968010,1.653557,-0.807222,2.228254
48960,0.993242,0.827766,0.090465,0.074378,-0.445743,2.083838,-0.761768,1.782437,-0.578863,1.915096,-0.966252,1.655990,-0.805045,2.230442
49280,0.989756,0.827943,0.089449,0.073300,-0.443275,2.086869,-0.759461,1.784647,-0.576875,1.917364,-0.964344,1.658298,-0.801563,2.231627
49600,0.954465,0.827662,0.083289,0.065796,-0.440309,2.088249,-0.757256,1.786914,-0.573214,1.918937,-0.962303,1.660482,-0.799387,2.233881
49920,0.981823,0.827741,0.089785,0.072967,-0.437205,2.089847,-0.754782,1.788873,-0.571019,1.920942,-0.960179,1.662611,-0.796291,2.235317
50240,0.973410,0.827566,0.096358,0.077622,-0.434800,2.092130,-0.752422,1.790987,-0.567777,1.922747,-0.958416,1.665029,-0.793861,2.237375
50560,0.973982,0.827508,0.090217,0.072713,-0.432828,2.095277,-0.750222,1.793306,-0.565759,1.924930,-0.957437,1.667851,-0.790901,2.239482
50880,0.951232,0.827260,0.081835,0.064397,-0.429991,2.096473,-0.748219,1.795718,-0.562831,1.926865,-0.956385,1.670663,-0.788870,2.241877
51200,0.970197,0.827190,0.095123,0.076340,-0.426949,2.098876,-0.746095,1.798052,-0.560916,1.929250,-0.955184,1.673410,-0.786060,2.243550
51520,0.954368,0.826976,0.102462,0.080867,-0.424486,2.100918,-0.744140,1.800544,-0.557828,1.931332,-0.953881,1.676106,-0.783875,2.245835
51840,0.951536,0.826797,0.105196,0.082761,-0.422244,2.104393,-0.742133,1.802974,-0.555508,1.933149,-0.952479,1.678742,-0.780950,2.248062
52160,0.945638,0.826795,0.093531,0.073127,-0.420155,2.106472,-0.740167,1.805453,-0.552759,1.935368,-0.950983,1.681340,-0.778552,2.250071
52480,0.939343,0.826698,0.099519,0.077282,-0.416677,2.107212,-0.737943,1.807673,-0.550542,1.937409,-0.949663,1.684032,-0.775344,2.252310
52800,0.947614,0.826654,0.089707,0.070272,-0.413834,2.108538,-0.735812,1.809995,-0.548050,1.939726,-0.948310,1.686702,-0.772920,2.254218
53120,0.956433,0.826425,0.102002,0.080624,-0.410903,2.111042,-0.733678,1.812335,-0.545189,1.941311,-0.946776,1.689269,-0.770300,2.256116
53440,0.935374,0.826336,0.092100,0.071187,-0.408763,2.113419,-0.731612,1.814716,-0.541841,1.943340,-0.945402,1.691932,-0.767798,2.257910
53760,0.951429,0.826204,0.097316,0.076497,-0.406111,2.115799,-0.729455,1.817019,-0.539445,1.945083,-0.944226,1.694676,-0.764382,2.260091
54080,0.904881,0.826063,0.092790,0.069359,-0.402875,2.116885,-0.727360,1.819337,-0.536567,1.947293,-0.942883,1.697361,-0.761954,2.261960
54400,0.979649,0.825795,0.094029,0.076069,-0.399828,2.118110,-0.725107,1.821512,-0.533644,1.948732,-0.941414,1.699969,-0.759949,2.264199
54720,0.988285,0.826101,0.090376,0.073785,-0.397592,2.121057,-0.722950,1.823838,-0.532023,1.951433,-0.939806,1.702485,-0.756323,2.265285
55040,0.964429,0.825713,0.087550,0.069720,-0.394736,2.122400,-0.720944,1.826254,-0.528367,1.952986,-0.938337,1.705094,-0.754500,2.267846
55360,0.924719,0.825616,0.110053,0.084021,-0.392135,2.125492,-0.718792,1.828550,-0.526202,1.955206,-0.937129,1.707832,-0.751433,2.269581
55680,0.965137,0.825727,0.096005,0.076510,-0.390249,2.128091,-0.716916,1.831066,-0.523820,1.957594,-0.935792,1.710517,-0.748877,2.271157
56000,0.992600,0.825329,0.092760,0.075991,-0.387274,2.129353,-0.714825,1.833398,-0.520517,1.958881,-0.934248,1.713082,-0.747158,2.273778
